id,name,land,eligible,valid1,valid,participation1,participation,CDU1_votes,CDU_votes,SPD1_votes,SPD_votes,AfD1_votes,AfD_votes,FDP1_votes,FDP_votes,LINKE1_votes,LINKE_votes,GRUENE1_votes,GRUENE_votes,PIRATEN1_votes,PIRATEN_votes,CDU1,CDU,SPD1,SPD,AfD1,AfD,FDP1,FDP,LINKE1,LINKE,GRUENE1,GRUENE,PIRATEN1,PIRATEN,Other1,Other
1,Flensburg – Schleswig,SH,231536,178575,178625,77.13,77.15,41721,36421,38927,45508,9768,10317,12299,19189,6544,7475,50231,33300,,,23.36,20.39,21.80,25.48,5.47,5.78,6.89,10.74,3.66,4.18,28.13,18.64,0.00,0.00,10.69,14.79
2,Nordfriesland – Dithmarschen Nord,SH,188267,144050,144145,76.51,76.56,43745,35511,40026,37926,8274,8798,13958,18350,4060,4437,20611,22588,,,30.37,24.64,27.79,26.31,5.74,6.10,9.69,12.73,2.82,3.08,14.31,15.67,0.00,0.00,9.29,11.47
3,Steinburg – Dithmarschen Süd,SH,176899,134980,135109,76.30,76.38,39431,32842,39379,37468,10429,11303,19315,18492,4339,4524,16686,19237,,,29.21,24.31,29.17,27.73,7.73,8.37,14.31,13.69,3.21,3.35,12.36,14.24,0.00,0.00,4.00,8.32
4,Rendsburg-Eckernförde,SH,202226,160650,160955,79.44,79.59,47688,38517,49474,43148,10200,10564,12903,19322,4416,5163,23832,28828,,,29.68,23.93,30.80,26.81,6.35,6.56,8.03,12.00,2.75,3.21,14.83,17.91,0.00,0.00,7.55,9.58
5,Kiel,SH,202482,154816,155068,76.46,76.58,28416,23920,45709,40338,7147,7654,11445,16110,7275,9430,43532,44089,,,18.35,15.43,29.52,26.01,4.62,4.94,7.39,10.39,4.70,6.08,28.12,28.43,0.00,0.00,7.29,8.72
6,Plön – Neumünster,SH,174908,131962,132527,75.45,75.77,36870,30290,41497,38670,9404,9741,12420,15901,3718,4232,20740,23051,,,27.94,22.86,31.45,29.18,7.13,7.35,9.41,12.00,2.82,3.19,15.72,17.39,0.00,0.00,5.54,8.03
7,Pinneberg,SH,238388,190069,190270,79.73,79.82,49710,42057,59298,55693,12141,13080,20737,25663,5659,6363,32109,34291,,,26.15,22.10,31.20,29.27,6.39,6.87,10.91,13.49,2.98,3.34,16.89,18.02,0.00,0.00,5.48,6.90
8,Segeberg – Stormarn-Mitte,SH,249202,197918,198265,79.42,79.56,55265,44285,63369,56658,14040,14527,20575,27675,6202,6468,27109,33361,,,27.92,22.34,32.02,28.58,7.09,7.33,10.40,13.96,3.13,3.26,13.70,16.83,0.00,0.00,5.74,7.71
9,Ostholstein – Stormarn-Nord,SH,183138,141791,141966,77.42,77.52,42991,35564,47714,42520,9647,10073,13289,17986,4122,4036,19025,22314,,,30.32,25.05,33.65,29.95,6.80,7.10,9.37,12.67,2.91,2.84,13.42,15.72,0.00,0.00,3.53,6.67
10,Herzogtum Lauenburg – Stormarn-Süd,SH,246277,195327,195587,79.31,79.42,51872,45364,60593,56422,14053,14682,20550,27725,5168,6325,33949,32475,,,26.56,23.19,31.02,28.85,7.19,7.51,10.52,14.18,2.65,3.23,17.38,16.60,0.00,0.00,4.68,6.44
11,Lübeck,SH,179394,129875,130237,72.40,72.60,28266,23628,44315,39704,8538,8827,9700,13626,4020,5785,27809,29229,,,21.76,18.14,34.12,30.49,6.57,6.78,7.47,10.46,3.10,4.44,21.41,22.44,0.00,0.00,5.56,7.25
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,MV,214853,153608,154163,71.49,71.75,31754,26383,45189,49271,25393,24185,11769,13242,17906,16604,12061,12419,1414,1023,20.67,17.11,29.42,31.96,16.53,15.69,7.66,8.59,11.66,10.77,7.85,8.06,0.92,0.66,5.29,7.16
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,MV,205042,144046,144104,70.25,70.28,26208,24621,50736,46846,24760,24673,10322,11638,14949,14979,8163,10147,,624,18.19,17.09,35.22,32.51,17.19,17.12,7.17,8.08,10.38,10.39,5.67,7.04,0.00,0.43,6.18,7.34
14,Rostock – Landkreis Rostock II,MV,222705,163010,162977,73.20,73.18,27672,23103,43932,47280,19882,20658,12242,14852,29715,21491,16556,20941,1304,854,16.98,14.18,26.95,29.01,12.20,12.68,7.51,9.11,18.23,13.19,10.16,12.85,0.80,0.52,7.18,8.47
15,Vorpommern-Rügen – Vorpommern-Greifswald I,MV,241066,166153,165779,68.92,68.77,33903,30910,40429,41583,33025,31303,11005,13776,22767,18857,12199,14654,1094,797,20.40,18.65,24.33,25.08,19.88,18.88,6.62,8.31,13.70,11.37,7.34,8.84,0.66,0.48,7.06,8.38
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,MV,221421,150668,151038,68.05,68.21,31182,28684,37392,40339,36597,35102,11165,11438,16202,15370,6112,6616,,518,20.70,18.99,24.82,26.71,24.29,23.24,7.41,7.57,10.75,10.18,4.06,4.38,0.00,0.34,7.98,8.59
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,MV,209348,140601,140798,67.16,67.26,29950,26402,43730,42049,30320,29421,9825,10609,14494,14434,7573,7179,,443,21.30,18.75,31.10,29.86,21.56,20.90,6.99,7.53,10.31,10.25,5.39,5.10,0.00,0.31,3.35,7.29
18,Hamburg-Mitte,HH,242078,178198,178555,73.61,73.76,23231,19982,59229,51170,8664,9100,14424,18723,16195,15593,46326,49791,,905,13.04,11.19,33.24,28.66,4.86,5.10,8.09,10.49,9.09,8.73,26.00,27.89,0.00,0.51,5.68,7.44
19,Hamburg-Altona,HH,187705,151883,152095,80.92,81.03,25441,22478,43427,38865,5191,5036,12380,16543,14716,13667,45063,46162,1351,571,16.75,14.78,28.59,25.55,3.42,3.31,8.15,10.88,9.69,8.99,29.67,30.35,0.89,0.38,2.84,5.77
20,Hamburg-Eimsbüttel,HH,193823,160039,160365,82.57,82.74,27462,23843,47375,44911,5450,5662,12957,18190,11351,10847,47734,47983,,500,17.16,14.87,29.60,28.01,3.41,3.53,8.10,11.34,7.09,6.76,29.83,29.92,0.00,0.31,4.82,5.26
21,Hamburg-Nord,HH,219909,184223,184691,83.77,83.99,43870,34387,56594,51575,6259,6811,15786,26247,9095,8741,47375,46531,,606,23.81,18.62,30.72,27.93,3.40,3.69,8.57,14.21,4.94,4.73,25.72,25.19,0.00,0.33,2.85,5.30
22,Hamburg-Wandsbek,HH,233483,172336,172821,73.81,74.02,33085,29103,66616,59298,11490,11290,15755,19225,10629,8852,26599,32134,2068,1048,19.20,16.84,38.65,34.31,6.67,6.53,9.14,11.12,6.17,5.12,15.43,18.59,1.20,0.61,3.54,6.87
23,Hamburg-Bergedorf – Harburg,HH,221794,156645,157017,70.63,70.79,26483,25427,61590,52523,12774,12638,13301,15674,10521,9878,24231,27931,,747,16.91,16.19,39.32,33.45,8.15,8.05,8.49,9.98,6.72,6.29,15.47,17.79,0.00,0.48,4.94,7.77
24,Aurich – Emden,NI,191846,135561,136194,70.66,70.99,24019,24066,71596,59038,,11173,11798,12113,4861,4671,12652,17668,,430,17.72,17.67,52.81,43.35,0.00,8.20,8.70,8.89,3.59,3.43,9.33,12.97,0.00,0.32,7.85,5.17
25,Unterems,NI,238506,173747,174276,72.85,73.07,77143,52067,49440,59229,13584,14248,10763,17671,4358,4650,16434,18576,,534,44.40,29.88,28.46,33.99,7.82,8.18,6.19,10.14,2.51,2.67,9.46,10.66,0.00,0.31,1.17,4.19
26,Friesland – Wilhelmshaven – Wittmund,NI,189047,132976,132930,70.34,70.32,29286,28535,60392,50448,10227,10951,9502,13874,3460,4122,13504,17020,,419,22.02,21.47,45.42,37.95,7.69,8.24,7.15,10.44,2.60,3.10,10.16,12.80,0.00,0.32,4.97,5.69
27,Oldenburg – Ammerland,NI,228705,172328,172550,75.35,75.45,34294,32100,65757,55231,8572,8903,12859,17674,10183,8344,35119,40919,1524,795,19.90,18.60,38.16,32.01,4.97,5.16,7.46,10.24,5.91,4.84,20.38,23.71,0.88,0.46,2.33,4.97
