Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Afghanistan,AFG,16.36,14.49,12.96,11.76,10.02,8.06,6.13,4.75,3.97,3.23,2.52,1.91,1.42,1.01,0.72,0.42,0.27
Albania,ALB,5.06,5.66,5.75,6.75,7.78,8.26,7.09,6.08,5.61,5.95,6.61,7.04,6.54,5.19,4.07,3.13,3.44
Algeria,DZA,11.31,10.59,8.75,6.94,6.79,7.89,8.39,8.21,7.03,5.91,5.01,4.01,3.16,2.45,1.56,0.99,1.02
American Samoa,ASM,9.17,9.61,9.42,8.41,7.96,9.27,6.05,5.31,5.92,6.18,6.21,5.71,4.32,2.99,1.85,0.93,0.69
Andorra,AND,3.28,4.71,5.34,5.24,5.64,6.03,6.61,7.74,8.89,9.4,8.8,7.96,6.15,4.51,3.61,2.61,3.49
Angola,AGO,17.5,15.13,12.69,10.29,8.5,7.41,6.43,5.28,4.22,3.35,2.76,2.21,1.64,1.12,0.71,0.44,0.33
Antigua and Barbuda,ATG,5.71,6.26,7.16,7.15,7.78,7.86,7.79,7.33,7.04,7.14,7.4,6.5,5.13,3.71,2.54,1.63,1.87
Argentina,ARG,7.64,8.16,7.87,7.72,7.77,7.81,7.36,7.1,6.86,5.96,5.11,4.69,4.26,3.69,3,2.18,2.83
Armenia,ARM,6.87,7.44,6.33,5.79,6.2,8.61,9.12,7.55,5.74,5.12,5.37,6.91,6.8,4.77,2.86,1.48,3.03
Aruba,ABW,4.98,5.94,6.51,6.47,5.27,5.8,6.28,6.39,6.73,7.17,7.89,8.29,7.44,5.99,4.14,2.54,2.19
Australia,AUS,6.07,6.31,6.17,5.81,6.7,7.52,7.53,7.16,6.34,6.51,6.11,6.01,5.53,4.85,4.27,3,4.11
Austria,AUT,4.88,4.79,4.74,4.89,5.73,6.71,6.85,6.87,6.37,6.9,7.92,7.77,6.47,5.11,4.51,4.04,5.46
Azerbaijan,AZE,7.32,8.96,7.97,6.45,6.95,8.66,9.18,8.1,6.7,6.01,6.24,6.13,4.88,2.89,1.56,0.81,1.19
Bahamas,BHS,5.79,6.42,8,8.21,8.43,8.5,7.46,7.22,7.2,7.38,6.6,6.02,4.53,3.06,2.12,1.48,1.58
Bahrain,BHR,7.32,7.48,6.7,5.61,6.41,10.06,13.21,11.86,9.13,6.84,5.29,4.01,2.73,1.55,0.8,0.48,0.52
Bangladesh,BGD,8.75,8.75,9.48,10.06,9.53,8.77,8.14,7.34,6.38,5.61,4.65,3.76,3.13,2.34,1.48,0.98,0.84
Barbados,BRB,5.4,5.61,6.41,6.62,6.57,6.65,6.52,6.79,6.57,7.1,6.92,7.14,6.61,5.33,4.06,2.79,2.92
Belarus,BLR,5.26,6.12,5.59,4.95,4.75,5.97,8.06,8.16,7.32,6.77,6.45,7.12,7.25,5.79,4.22,2.23,3.99
